# festivals.txt — festival dates, verified against Drik Panchang (New Delhi,
# Purnimanta/North-Indian convention), cross-checked where year tables exist.
# Format: YYYY-MM-DD<TAB>key. Covers 2026-2030 — refresh before 2031.
# Conventions: holi = Rangwali/Dhulandi day; janmashtami = Smarta date;
# hanuman = Chaitra Purnima; diwali = Lakshmi Puja night; chhath = Sandhya
# Arghya; navratri = Sharadiya Ghatasthapana.
# Fixed-date days (newyear 01-01, lohri 01-13, christmas 12-25) live in code.
2026-01-14	sankranti
2026-01-23	vasant
2026-02-15	shivaratri
2026-03-04	holi
2026-03-26	ramnavami
2026-04-02	hanuman
2026-04-14	baisakhi
2026-07-29	gurupurnima
2026-08-26	onam
2026-08-28	rakhi
2026-09-04	janmashtami
2026-09-14	ganesh
2026-10-11	navratri
2026-10-20	dussehra
2026-11-08	diwali
2026-11-15	chhath
2026-11-24	gurpurab
2027-01-15	sankranti
2027-02-11	vasant
2027-03-06	shivaratri
2027-03-22	holi
2027-04-14	baisakhi
2027-04-15	ramnavami
2027-04-20	hanuman
2027-07-18	gurupurnima
2027-08-17	rakhi
2027-08-25	janmashtami
2027-09-04	ganesh
2027-09-12	onam
2027-09-30	navratri
2027-10-09	dussehra
2027-10-29	diwali
2027-11-04	chhath
2027-11-14	gurpurab
2028-01-15	sankranti
2028-01-31	vasant
2028-02-23	shivaratri
2028-03-11	holi
2028-04-03	ramnavami
2028-04-09	hanuman
2028-04-13	baisakhi
2028-07-06	gurupurnima
2028-08-05	rakhi
2028-08-13	janmashtami
2028-08-23	ganesh
2028-09-01	onam
2028-09-19	navratri
2028-09-27	dussehra
2028-10-17	diwali
2028-10-23	chhath
2028-11-02	gurpurab
2029-01-14	sankranti
2029-01-19	vasant
2029-02-11	shivaratri
2029-03-01	holi
2029-04-14	baisakhi
2029-04-23	ramnavami
2029-04-28	hanuman
2029-07-25	gurupurnima
2029-08-22	onam
2029-08-23	rakhi
2029-09-01	janmashtami
2029-09-11	ganesh
2029-10-08	navratri
2029-10-16	dussehra
2029-11-05	diwali
2029-11-11	chhath
2029-11-21	gurpurab
2030-01-14	sankranti
2030-02-07	vasant
2030-03-02	shivaratri
2030-03-20	holi
2030-04-12	ramnavami
2030-04-14	baisakhi
2030-04-18	hanuman
2030-07-15	gurupurnima
2030-08-13	rakhi
2030-08-21	janmashtami
2030-09-01	ganesh
2030-09-09	onam
2030-09-28	navratri
2030-10-06	dussehra
2030-10-26	diwali
2030-11-01	chhath
2030-11-10	gurpurab
